,X83.HK.EQUITY,X2867.TT.EQUITY,X5880.TT.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X2548.TT.EQUITY,X5534.TT.EQUITY,X2885.TT.EQUITY,X6005.TT.EQUITY,X5876.TT.EQUITY,X2801.TT.EQUITY,X1463.TT.EQUITY,X9940.TT.EQUITY,X2820.TT.EQUITY,X2855.TT.EQUITY,X601377.CH.EQUITY,X600848.CH.EQUITY,X2905.TT.EQUITY,X1808.TT.EQUITY,X2897.TT.EQUITY,X3040.TT.EQUITY,X600663.CH.EQUITY,X2511.TT.EQUITY,X000656.CH.EQUITY,X002939.CH.EQUITY
X83.HK.EQUITY,0,0.09004572580839,0,0,0.454027525113608,0,0.00213366241175445,0,0,0.651736402355036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0.00152013171701345,0,0,0,0.0707559036431307,0,0.10170512941716,0,-0.0391740633397128,0,0,0,0,0,0,0,0,0.282409884402346,0,0,0.0105376478712143,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0.00199767258135611,0.024150590171174,0.0483461648852729,0,0,0,0,0,0.00234962902903248,0,0,0,0,0,0.0330601180300936,0,0,0,0,0,0.020414414304005,0,0,0,0
X2501.TT.EQUITY,0.00011097812505001,0,0,0,0,0,0.153808169964251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597870989126018,0,0,0,0
X2548.TT.EQUITY,0.00602544884904317,0,0,0,0,0,0.0648420455711828,0,0.0304944666721344,0,0,0,0,0,0,0,0,0.108451762315281,0,0,0.0477500056752759,0,0.0316038319278134,0,0
X5534.TT.EQUITY,-0.0123317419138882,0.0168646464017783,0,0,0,0,0,0,1.64158479582258e-05,0,0,0,0,0,0.324246268076872,0,0,0,0,0,0.100101534812658,0,0,0,0
X2885.TT.EQUITY,0.00614742591068856,0.0115415603752485,0.132755475246275,0,0,0,-0.0105348331469515,0,0.010582770168128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0.0189917757426987,0,0,0,0,0.164119177431293,0,0,0,0,0,0,0,0,0.452023666676406,0,0,0.208402361542288,0,0,0.407944871761077,0,0,0,0
X5876.TT.EQUITY,0.0131669212614612,0.111551362883757,0.0130713028147172,0,0,0,0,0,0.00188899375867292,0,0,0,0,0,0,0,0,0,0,0,0.00383470830616298,0,0,0,0
X2801.TT.EQUITY,0.00109996186366963,0,0,0,0,0,0.0365607744384021,0,0,0,0,0,0,0,0.0568295698026138,0,0,0,0,0,0.018174295458644,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0,0,0,0,0,0,0.0473433848687786,0,0.005371419700404,0,0,0,0,0,0.191130949227128,0,0,0,0,0,0,0,0.259610225255355,0,0
X2820.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2855.TT.EQUITY,0.00891652202740839,0,0,0,0,0,0.0720242143831413,0,0.0409182592972824,0,0,0,0,0,0,0,0,0,0,0,0.0373697007859949,0,0,0,0
X601377.CH.EQUITY,-0.0094688705221516,0,0,0,0.0146622183995032,0,0,0,-0.00127590069947805,0,0,0,0,0,0,0,0,0,0,0,0.0301451909806925,0,0,0,0.0396557154360939
X600848.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0.313055848483815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364684710551976,0,0,0,0
X1808.TT.EQUITY,0.00784646839207057,0.189533963228376,0,0,0,0.083519225339346,0,0,0,0,0,0,0.0301073057649266,0,0.12466509276218,0,0,0,0,0,0.0492899490964583,0,0.264061245453126,0,0
X2897.TT.EQUITY,-0.00450523948395335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312882843403761,0,0,0,0
X3040.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600663.CH.EQUITY,0.0032896495849294,0,0,0,0,0,0,0,0.00082449106529292,0,0,0,0,0,0,0,0,0,0.00319381063416626,0,0.0131324039222065,0,0,0,0.0978626807872926
X2511.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0.00346540931271689,0,0.118572136666034,0,0,0,-0.0368393873662145,0,-0.00396797955106396,0,0,0,0,0,0,0,0,0.00301780415543904,0.066134879731708,0,0.0207533920690934,0,0.0260164571428235,0,0
X002939.CH.EQUITY,0.00306169876598524,0.0491181169532248,0,0,0,0,0,0,0.00448227308767594,0,0,0,0,0,-0.00989159578497774,0.050403722405386,0.152385573878032,0,0.00966405807429753,0,0.0017213670583414,0,0,0.109760684997641,0
