date,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X601628.CH.Equity,X2628.HK.Equity,X600036.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X1299.HK.Equity,X5.HK.Equity,X388.HK.Equity
20200804,0.167323750826385,0.226670586210216,0.294809411180531,0.219081282040614,0.242396500937508,0.176529613225075,0.175825797010314,0.282101140241619,0.210311123880205,0.215935939572141,0.251890866500344,0.259313229084024,0.139963459178765,0.158820055439774,0.0517559347431872
20200805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
